fdo_id,fdo_name,short_name,abbrev,sky_name,BBC_name,deduction
77,Athletic Club,Athletic Bilbao,Bil,Athletic Bilbao,Ath Bilbao,0
78,Club Atlético de Madrid,Atlético Madrid,Atl,Atletico Madrid,Atl Madrid,0
79,CA Osasuna,Osasuna,Osa,Osasuna,Osasuna,0
80,RCD Espanyol de Barcelona,Espanyol,Esp,Espanyol,Espanyol,0
81,FC Barcelona,Barcelona,Bar,Barcelona,Barcelona,0
82,Getafe CF,Getafe,Get,Getafe,Getafe,0
86,Real Madrid CF,Real Madrid,RMa,Real Madrid,Real Madrid,0
87,Rayo Vallecano de Madrid,Rayo Vallecano,Ray,Rayo Vallecano,Rayo Vallecano,0
89,RCD Mallorca,Mallorca,Mal,Mallorca,Mallorca,0
90,Real Betis Balompié,Real Betis,Bet,Real Betis,Real Betis,0
92,Real Sociedad de Fútbol,Real Sociedad,RSo,Real Sociedad,Real Sociedad,0
94,Villarreal CF,Villarreal,Vil,Villarreal,Villarreal,0
95,Valencia CF,Valencia,Val,Valencia,Valencia,0
250,Real Valladolid CF,Real Valladolid,Vdd,NA,Real Valladolid,0
264,Cádiz CF,Cádiz CF,Cad,NA,Cádiz,0
267,UD Almería,Almería,Alm,NA,Almería,0
285,Elche CF,Elche,Elc,NA,Elche,0
298,Girona FC,Girona,Gir,NA,Girona,0
558,RC Celta de Vigo,Celta Vigo,Cel,Celta Vigo,Celta Vigo,0
559,Sevilla FC,Sevilla,Sev,Sevilla,Sevilla,0
